operation,from_user,to_users_count,resource,latency,num_contexts
share,user_19,8,/scratch/user_19,0.13632953300111694,1
share,user_3,8,/scratch/user_3,0.12706160500238184,2
share,user_7,4,/scratch/user_7,0.1211251960012305,3
share,user_1,4,/scratch/user_1,0.12680397800068022,4
share,user_9,1,/scratch/user_9,0.1120949770011066,5
share,user_10,2,/scratch/user_10,0.11439294800220523,6
share,user_5,9,/scratch/user_5,0.1315847969999595,7
share,user_2,4,/scratch/user_2,0.1395024259982165,8
share,user_8,6,/scratch/user_8,0.1274781489992165,9
share,user_6,1,/scratch/user_6,0.11368865300028119,10
share,user_19,9,/scratch/user_19,0.13671695099765202,9
share,user_3,1,/scratch/user_3,0.12288866300150403,9
share,user_4,9,/scratch/user_4,0.12694314499822212,10
share,user_7,6,/scratch/user_7,0.13424764600131311,10
share,user_1,9,/scratch/user_1,0.14566096100315917,10
share,user_9,10,/scratch/user_9,0.13919496599919512,10
share,user_10,6,/scratch/user_10,0.1428206520031381,10
share,user_5,5,/scratch/user_5,0.12182224099888117,9
share,user_8,1,/scratch/user_8,0.14359761499872548,9
share,user_6,7,/scratch/user_6,0.12327916600042954,10
share,user_19,1,/scratch/user_19,0.13275742800033186,10
share,user_3,1,/scratch/user_3,0.1345780219999142,10
share,user_4,7,/scratch/user_4,0.13775987300323322,10
share,user_7,3,/scratch/user_7,0.14865081099924282,10
share,user_1,4,/scratch/user_1,0.12727360499775386,10
share,user_9,5,/scratch/user_9,0.13454031299988856,10
share,user_10,1,/scratch/user_10,0.12750235600105952,10
share,user_5,10,/scratch/user_5,0.12264366099770996,9
share,user_2,9,/scratch/user_2,0.14034380500015686,9
share,user_8,5,/scratch/user_8,0.13886175399966305,9
share,user_6,4,/scratch/user_6,0.15594635199886397,9
share,user_19,3,/scratch/user_19,0.14295423600196955,9
share,user_4,10,/scratch/user_4,0.16714666600091732,9
share,user_41,2,/scratch/user_41,0.11985564499991597,10
share,user_1,3,/scratch/user_1,0.14390474199899472,10
share,user_9,7,/scratch/user_9,0.13226059099906706,10
share,user_10,1,/scratch/user_10,0.1315945450005529,10
share,user_5,6,/scratch/user_5,0.12603684699934092,10
share,user_8,4,/scratch/user_8,0.14715555099974154,10
share,user_6,5,/scratch/user_6,0.1413745600002585,10
share,user_19,6,/scratch/user_19,0.1318452969971986,10
share,user_3,7,/scratch/user_3,0.1457970440023928,10
share,user_4,11,/scratch/user_4,0.15093653100120719,10
share,user_88,12,/scratch/user_88,0.13418051800181274,11
share,user_41,8,/scratch/user_41,0.15052940399982617,11
share,user_7,6,/scratch/user_7,0.14484816299955128,11
share,user_1,3,/scratch/user_1,0.15304775099866674,11
share,user_9,6,/scratch/user_9,0.1232138710001891,11
share,user_10,4,/scratch/user_10,0.15124024100077804,11
share,user_61,11,/scratch/user_61,0.13102329100001953,12
share,user_5,6,/scratch/user_5,0.12481208999815863,11
share,user_8,5,/scratch/user_8,0.1410381409987167,11
share,user_6,6,/scratch/user_6,0.13471964600103092,11
share,user_3,13,/scratch/user_3,0.12736927100195317,11
share,user_88,10,/scratch/user_88,0.13027124499785714,11
share,user_41,10,/scratch/user_41,0.13627194600121584,10
share,user_7,10,/scratch/user_7,0.14046338700063643,10
share,user_1,5,/scratch/user_1,0.14898172699759016,10
share,user_61,10,/scratch/user_61,0.11269581099986681,9
share,user_5,6,/scratch/user_5,0.12146948600275209,9
share,user_2,4,/scratch/user_2,0.14124222399914288,9
share,user_8,12,/scratch/user_8,0.13150771100117709,9
share,user_6,7,/scratch/user_6,0.13921458800177788,9
share,user_19,12,/scratch/user_19,0.12414108400116675,9
share,user_3,11,/scratch/user_3,0.1316698369992082,9
share,user_4,7,/scratch/user_4,0.12250986700018984,9
share,user_88,2,/scratch/user_88,0.13891246100320132,9
share,user_41,4,/scratch/user_41,0.12917944700166117,9
share,user_7,9,/scratch/user_7,0.12856090199784376,8
share,user_1,4,/scratch/user_1,0.12757568799861474,7
share,user_9,10,/scratch/user_9,0.12757247900299262,7
share,user_61,2,/scratch/user_61,0.11749696300103096,7
share,user_8,5,/scratch/user_8,0.1262497630013968,7
share,user_6,5,/scratch/user_6,0.13263896700300393,6
share,user_19,2,/scratch/user_19,0.13522618900242378,6
share,user_3,3,/scratch/user_3,0.12746435399822076,7
share,user_4,13,/scratch/user_4,0.16545269500056747,8
share,user_41,7,/scratch/user_41,0.13509952199819963,9
share,user_7,7,/scratch/user_7,0.12170836199948099,9
share,user_1,14,/scratch/user_1,0.1395805050015042,9
share,user_9,5,/scratch/user_9,0.14012055000057444,9
share,user_25,5,/scratch/user_25,0.12243086600210518,10
share,user_10,3,/scratch/user_10,0.11698837700168951,10
share,user_61,1,/scratch/user_61,0.12291057699985686,10
share,user_5,12,/scratch/user_5,0.13377726399994572,9
share,user_2,1,/scratch/user_2,0.11205014000006486,9
share,user_8,7,/scratch/user_8,0.12385062400062452,9
