timestamp,share_count,unshare_count,total_latency
0,13,6,5.252767704996586
1,17,5,6.204755756998566
2,15,5,5.788941915003306
3,18,5,7.1542926209967845
4,18,8,8.256907566004884
5,18,7,8.202333399003692
6,23,3,9.052631679000115
7,24,11,11.728530898999452
8,23,7,10.484714399004588
9,28,11,10.997107534994939
10,23,8,12.034938204993523
11,24,9,12.510696036995796
12,32,12,17.93913892299497
13,23,11,14.246033139002975
14,31,12,17.752293388995895
15,27,13,17.74009945999387
16,32,16,21.847930516991255
17,31,11,20.160006664997127
18,37,18,28.84916991400678
19,35,16,27.43977426899619
20,34,20,31.870826511001724
21,30,25,30.881230852000954
22,36,25,28.212260636008068
23,32,21,22.654558230005932
24,42,25,29.527888058004464
25,32,24,26.707927051000297
26,35,25,29.439488411002458
27,33,22,37.1285864789952
28,32,31,49.52080816099442
29,41,23,57.13004508600716
30,43,33,62.47269267298725
31,41,28,69.49630023001009
32,45,23,67.84533433399702
33,47,25,79.82489038599851
34,51,32,88.63049383499492
35,38,33,81.67067333099658
36,45,29,92.41685637499359
37,53,27,104.79014543900303
38,54,38,119.45517101400583
39,55,36,131.36882311701083
40,49,44,140.75692387500203
41,44,47,131.29182436600422
42,48,43,142.20818115999646
43,40,48,143.98506049100797
44,44,42,151.42014214799565
45,48,43,159.84297267700094
46,42,56,187.2204771209981
47,47,49,181.9889566749971
48,54,42,191.02954669199607
49,50,46,209.5393751659958
50,46,46,65.43663628798276
51,44,49,67.00675012902502
52,52,48,44.815726217984775
53,48,46,40.71652719899066
54,47,53,42.207322198006295
55,49,44,38.87916239600236
56,51,41,48.15887207101696
57,49,40,43.47456468999371
58,43,38,43.39139785901352
59,46,35,31.573809840010654
60,35,49,35.60401043498496
61,32,49,38.545000899001025
62,38,49,40.13811918599822
63,30,54,29.477141779985686
64,32,40,28.27977305598324
65,31,37,30.899705771003937
66,30,43,29.268213415012724
67,25,37,23.834355167007743
68,27,40,25.34292600500339
69,30,30,22.182168977997208
70,24,33,21.303735670993774
71,22,33,21.948430038013612
72,24,28,20.079204600016965
73,26,38,23.165467091996106
74,24,38,21.855874088993005
75,24,24,18.20799669599728
76,20,30,16.801102268997056
77,21,30,18.930234151008335
78,17,25,11.917845946001762
79,20,23,14.708021435013507
80,12,32,14.8796771989837
81,10,26,12.229808882017096
82,11,23,10.218184926005051
83,13,23,10.678143885987083
84,13,27,12.658376261999365
85,17,19,10.86626675801017
86,15,24,12.27041842599283
87,11,16,8.494642448000377
88,15,23,11.705506946997048
89,12,17,9.369758536999143
90,10,18,8.052217839001969
91,11,22,10.032317214008799
92,10,17,7.984531672002049
93,9,15,6.853408991992183
94,9,19,8.19144086799497
95,10,15,7.11867531601456
96,3,10,3.4026909339991107
97,10,9,5.826270749006653
98,5,10,4.442392445998848
99,3,9,3.5441500399974757
