,operation,from_user,to_users_count,resource,latency,num_contexts
0,unshare,user_9,6,/scratch/user_9,0.17239419800171163,8
1,unshare,user_4,1,/scratch/user_4,0.13228855799752637,9
2,unshare,user_6,1,/scratch/user_6,0.14203376799923717,5
3,unshare,user_5,6,/scratch/user_5,0.1320241809989966,6
4,unshare,user_10,3,/scratch/user_10,0.1340486900007818,6
5,unshare,user_24,8,/scratch/user_24,0.13064671699976316,7
6,unshare,user_1,6,/scratch/user_1,0.12683770000148797,10
7,unshare,user_9,5,/scratch/user_9,0.1510138929988898,9
8,unshare,user_10,9,/scratch/user_10,0.1382235839992063,10
9,unshare,user_3,8,/scratch/user_3,0.1591825540017453,11
10,unshare,user_2,9,/scratch/user_2,0.17459508200045093,8
11,unshare,user_34,2,/scratch/user_34,0.1342949840000074,7
12,unshare,user_17,7,/scratch/user_17,0.14888392400098382,6
13,unshare,user_82,6,/scratch/user_82,0.1496386770013487,6
14,unshare,user_3,5,/scratch/user_3,0.13683895299982396,6
15,unshare,user_82,4,/scratch/user_82,0.18445883599997615,8
16,unshare,user_9,15,/scratch/user_9,0.09508392999850912,8
17,unshare,user_17,9,/scratch/user_17,0.14597057799983304,6
18,unshare,user_84,8,/scratch/user_84,0.13431081599992467,6
19,unshare,user_70,9,/scratch/user_70,0.14551640800345922,7
20,unshare,user_5,14,/scratch/user_5,0.09305013000266626,5
21,unshare,user_5,9,/scratch/user_5,0.16495153800133266,7
22,unshare,user_3,12,/scratch/user_3,0.2363774020013807,8
23,unshare,user_84,13,/scratch/user_84,0.13991375800105743,6
24,unshare,user_40,8,/scratch/user_40,0.14975055300237727,7
25,unshare,user_9,7,/scratch/user_9,0.1943031280025025,4
26,unshare,user_97,5,/scratch/user_97,0.1424668110012135,5
27,unshare,user_82,2,/scratch/user_82,0.13514390300042578,6
28,unshare,user_23,3,/scratch/user_23,0.1477165430005698,7
29,unshare,user_70,11,/scratch/user_70,0.14033546700011357,10
30,unshare,user_90,7,/scratch/user_90,0.13869625199731672,8
31,unshare,user_2,8,/scratch/user_2,0.15964980499848025,9
