operation,from_user,to_users_count,resource,latency,num_contexts
unshare,user_4,2,/scratch/user_4,0.1521710470005928,24
unshare,user_2,6,/scratch/user_2,0.19118020600217278,24
unshare,user_5,10,/scratch/user_5,0.16446352799903252,24
unshare,user_4,2,/scratch/user_4,0.16251969099903363,24
unshare,user_2,5,/scratch/user_2,0.1613074390006659,24
unshare,user_70,2,/scratch/user_70,0.15486825900006806,25
unshare,user_10,6,/scratch/user_10,0.17307033600081922,24
unshare,user_4,5,/scratch/user_4,0.16312398300215136,24
unshare,user_73,3,/scratch/user_73,0.13602609699955792,25
unshare,user_7,4,/scratch/user_7,0.14360911100084195,25
unshare,user_5,1,/scratch/user_5,0.15883976399709354,28
unshare,user_16,3,/scratch/user_16,0.15541404800023884,25
unshare,user_7,5,/scratch/user_7,0.15892305400120676,26
unshare,user_9,6,/scratch/user_9,0.16917169600128545,26
unshare,user_16,11,/scratch/user_16,0.1675670269978582,26
unshare,user_70,10,/scratch/user_70,0.18124200999955065,26
unshare,user_4,8,/scratch/user_4,0.17936671400093473,28
unshare,user_24,7,/scratch/user_24,0.17471170499993605,27
unshare,user_29,11,/scratch/user_29,0.1677489819994662,26
unshare,user_6,10,/scratch/user_6,0.1745586609977181,26
unshare,user_52,8,/scratch/user_52,0.1606308429982164,27
unshare,user_6,2,/scratch/user_6,0.16740322999976343,29
unshare,user_7,5,/scratch/user_7,0.17136598599972785,30
unshare,user_70,3,/scratch/user_70,0.18087213000035263,30
unshare,user_10,14,/scratch/user_10,0.1980808270018315,30
unshare,user_29,12,/scratch/user_29,0.17303265599912265,30
unshare,user_1,9,/scratch/user_1,0.16898360599952866,31
unshare,user_56,13,/scratch/user_56,0.18756072300311644,31
unshare,user_9,12,/scratch/user_9,0.20684938399790553,32
unshare,user_5,13,/scratch/user_5,0.10554886200043256,30
unshare,user_42,5,/scratch/user_42,0.17387598899949808,30
unshare,user_86,13,/scratch/user_86,0.2570106420025695,29
unshare,user_10,8,/scratch/user_10,0.0869096599999466,28
unshare,user_6,6,/scratch/user_6,0.09396759000082966,27
unshare,user_19,2,/scratch/user_19,0.1690849779988639,27
unshare,user_29,6,/scratch/user_29,0.15606282799853943,27
unshare,user_1,6,/scratch/user_1,0.08078373099851888,27
unshare,user_5,9,/scratch/user_5,0.0848874879993673,27
unshare,user_16,19,/scratch/user_16,0.13559903900022618,27
unshare,user_9,20,/scratch/user_9,0.1314423629992234,27
unshare,user_10,4,/scratch/user_10,0.07259492299999692,27
unshare,user_71,13,/scratch/user_71,0.1113989510013198,27
unshare,user_70,4,/scratch/user_70,0.08653207200040924,27
unshare,user_7,11,/scratch/user_7,0.09989663700253004,27
unshare,user_35,23,/scratch/user_35,0.14334704900102224,27
unshare,user_56,15,/scratch/user_56,0.11758066900074482,27
unshare,user_6,22,/scratch/user_6,0.13005656600216753,27
unshare,user_4,18,/scratch/user_4,0.11708833300144761,27
unshare,user_10,5,/scratch/user_10,0.0835160230017209,27
unshare,user_1,1,/scratch/user_1,0.1639475819974905,27
unshare,user_86,6,/scratch/user_86,0.08374619000096573,27
unshare,user_24,20,/scratch/user_24,0.14226487699852441,27
unshare,user_2,7,/scratch/user_2,0.0804430179996416,27
unshare,user_6,15,/scratch/user_6,0.1003558830016118,39
unshare,user_35,11,/scratch/user_35,0.18370556800073246,39
unshare,user_52,26,/scratch/user_52,0.1257512179981859,39
unshare,user_71,11,/scratch/user_71,0.1925688330011326,37
unshare,user_42,15,/scratch/user_42,0.11321557100018254,37
unshare,user_64,4,/scratch/user_64,0.18452935900131706,37
unshare,user_1,14,/scratch/user_1,0.2105361530011578,37
unshare,user_23,20,/scratch/user_23,0.22198140600085026,34
unshare,user_7,12,/scratch/user_7,0.18515332300012233,32
unshare,user_99,6,/scratch/user_99,0.17580008100048872,34
unshare,user_52,3,/scratch/user_52,0.18565469800159917,35
unshare,user_6,12,/scratch/user_6,0.20615893600188429,34
unshare,user_96,6,/scratch/user_96,0.18976918199768988,34
unshare,user_52,1,/scratch/user_52,0.1878533309973136,34
unshare,user_64,9,/scratch/user_64,0.1904656820006494,35
unshare,user_31,18,/scratch/user_31,0.21099325500108534,35
unshare,user_19,12,/scratch/user_19,0.20040571199933765,35
unshare,user_9,2,/scratch/user_9,0.19609321800089674,35
unshare,user_16,22,/scratch/user_16,0.16224899600274512,35
unshare,user_70,3,/scratch/user_70,0.1853269610001007,35
unshare,user_1,21,/scratch/user_1,0.13858551700104726,35
unshare,user_16,3,/scratch/user_16,0.18244051699730335,35
unshare,user_83,7,/scratch/user_83,0.18731438600298134,35
unshare,user_48,18,/scratch/user_48,0.24340943800052628,35
unshare,user_7,12,/scratch/user_7,0.10155060399847571,35
unshare,user_86,6,/scratch/user_86,0.21527704800246283,35
unshare,user_48,21,/scratch/user_48,0.20812611800283776,35
unshare,user_31,12,/scratch/user_31,0.11828235299981316,35
unshare,user_71,8,/scratch/user_71,0.0885394599972642,35
unshare,user_64,22,/scratch/user_64,0.14769815299951006,34
unshare,user_52,7,/scratch/user_52,0.18646831599835423,34
unshare,user_56,5,/scratch/user_56,0.2073648450023029,34
unshare,user_29,28,/scratch/user_29,0.17724236799767823,34
unshare,user_70,12,/scratch/user_70,0.11364005699942936,34
unshare,user_99,12,/scratch/user_99,0.10478523900019354,34
unshare,user_72,11,/scratch/user_72,0.11445831099990755,34
unshare,user_48,11,/scratch/user_48,0.11616682200110517,34
unshare,user_23,21,/scratch/user_23,0.1406910460027575,34
unshare,user_29,1,/scratch/user_29,0.18099155199888628,34
unshare,user_24,26,/scratch/user_24,0.1751404669994372,34
unshare,user_9,26,/scratch/user_9,0.14510749200053397,34
unshare,user_86,11,/scratch/user_86,0.08579279100013082,33
unshare,user_26,15,/scratch/user_26,0.09642828500000178,33
unshare,user_31,7,/scratch/user_31,0.0762920960005431,33
unshare,user_4,29,/scratch/user_4,0.11870744400221156,35
unshare,user_96,23,/scratch/user_96,0.1283268000006501,37
unshare,user_52,25,/scratch/user_52,0.1461249290005071,37
unshare,user_26,15,/scratch/user_26,0.09663186200123164,39
unshare,user_48,22,/scratch/user_48,0.11567174999800045,39
unshare,user_12,29,/scratch/user_12,0.14778543500142405,39
unshare,user_23,19,/scratch/user_23,0.12788491600076668,39
unshare,user_100,6,/scratch/user_100,0.09172186499927193,40
unshare,user_71,5,/scratch/user_71,0.06785306799793034,40
unshare,user_86,31,/scratch/user_86,0.18269701200188138,40
unshare,user_24,23,/scratch/user_24,0.1577290390014241,41
unshare,user_99,13,/scratch/user_99,0.09729519100073958,42
unshare,user_52,1,/scratch/user_52,0.16600251099953311,43
unshare,user_10,27,/scratch/user_10,0.1551608080008009,43
unshare,user_70,23,/scratch/user_70,0.1577916170026583,43
unshare,user_1,19,/scratch/user_1,0.1318993490021967,44
unshare,user_52,27,/scratch/user_52,0.15096522499879939,44
unshare,user_26,14,/scratch/user_26,0.12086263699893607,44
unshare,user_59,22,/scratch/user_59,0.13813121700150077,43
unshare,user_70,2,/scratch/user_70,0.1940381050008,43
unshare,user_12,16,/scratch/user_12,0.12263872900075512,43
unshare,user_71,18,/scratch/user_71,0.165248937002616,43
unshare,user_9,19,/scratch/user_9,0.1354256880003959,43
unshare,user_96,22,/scratch/user_96,0.13607777600191184,43
unshare,user_9,4,/scratch/user_9,0.07716532099948381,43
unshare,user_52,9,/scratch/user_52,0.09541756999897189,43
unshare,user_60,29,/scratch/user_60,0.17568953299996792,43
unshare,user_31,28,/scratch/user_31,0.16582171700065373,43
unshare,user_73,32,/scratch/user_73,0.18829961599840317,43
unshare,user_78,19,/scratch/user_78,0.14481461100149318,43
unshare,user_30,12,/scratch/user_30,0.1100613720009278,43
unshare,user_12,28,/scratch/user_12,0.18066009699759888,43
unshare,user_51,16,/scratch/user_51,0.12203878000218538,43
unshare,user_35,23,/scratch/user_35,0.1327403499999491,43
unshare,user_72,26,/scratch/user_72,0.15593312999772024,43
unshare,user_83,19,/scratch/user_83,0.12730364499657298,43
unshare,user_31,7,/scratch/user_31,0.0873266259986849,43
unshare,user_12,3,/scratch/user_12,0.0737573690021236,43
unshare,user_51,26,/scratch/user_51,0.16724661400076002,43
unshare,user_35,5,/scratch/user_35,0.08333197100000689,43
unshare,user_69,13,/scratch/user_69,0.12240859200028353,42
unshare,user_64,12,/scratch/user_64,0.12294917599865585,42
unshare,user_31,12,/scratch/user_31,0.13408633200015174,42
unshare,user_70,23,/scratch/user_70,0.16680533399994601,42
unshare,user_1,15,/scratch/user_1,0.1311456420007744,42
unshare,user_83,2,/scratch/user_83,0.07074353999996674,42
